aristas,tiempo
1048576,0.456507
1048576,0.428234
1048576,0.460793
1048576,0.437055
1048576,0.418984
1048576,0.436516
1048576,0.462724
1048576,0.417581
1048576,0.447781
1048576,0.447833
2097152,0.841875
2097152,0.822728
2097152,0.848911
2097152,0.842412
2097152,0.902992
2097152,0.792608
2097152,0.646692
2097152,0.579941
2097152,0.654129
2097152,0.555085
2097152,0.862499
2097152,0.841348
2097152,0.599339
2097152,0.661155
2097152,0.63145
2097152,0.532568
2097152,0.611153
2097152,0.509088
2097152,0.52523
2097152,0.516773
2097152,0.499574
2097152,0.541987
2097152,0.524054
2097152,0.526245
2097152,0.556864
2097152,0.54891
2097152,0.52819
2097152,0.535805
2097152,0.568207
2097152,0.53806
2097152,0.532718
2097152,0.507389
2097152,0.520684
2097152,0.533849
2097152,0.524371
2097152,0.529884
2097152,0.517137
2097152,0.523737
2097152,0.653314
2097152,0.55914
2097152,0.521728
2097152,0.585161
2097152,0.556841
2097152,0.549703
2097152,0.543651
2097152,0.526794
2097152,0.518011
2097152,0.537574
2097152,0.522889
2097152,0.522556
4194304,1.02539
4194304,1.68121
4194304,1.72709
4194304,1.70613
4194304,1.67926
4194304,1.73356
4194304,1.61836
4194304,1.57792
4194304,1.65825
4194304,1.53177
4194304,1.68939
4194304,1.46127
4194304,1.34649
4194304,1.79096
4194304,1.55727
4194304,1.67645
4194304,0.951854
4194304,0.947124
4194304,0.938071
4194304,0.920682
4194304,0.968818
4194304,0.921651
4194304,0.911042
4194304,0.961454
4194304,0.988271
4194304,0.932813
4194304,0.953446
4194304,0.956183
4194304,0.996606
4194304,0.936468
4194304,0.991049
4194304,0.968249
4194304,0.940795
4194304,0.976448
4194304,1.14184
4194304,0.856236
4194304,0.813828
4194304,0.817078
4194304,0.818175
4194304,0.813717
4194304,0.819026
4194304,0.827402
4194304,0.820403
4194304,0.818741
4194304,0.825855
4194304,0.831186
4194304,0.844261
4194304,0.818238
4194304,0.826043
4194304,0.82015
